url,form,perf,a11y,bp,seo,FCP,LCP,CLS,TBT,SI,payloadKB,unusedJsKB,unusedCssKB,mainThreadMs
"/","mobile",65,96,96,92,"1.8 s","4.2 s","0","690 ms","4.5 s",1781,326,31,3319
"/therapists","mobile",44,95,96,100,"3.2 s","11.1 s","0","860 ms","5.7 s",1664,207,31,7453
"/search","mobile",53,95,100,100,"3.2 s","11.1 s","0","460 ms","5.9 s",1650,207,31,2781
"/pricing","mobile",53,100,100,100,"3.1 s","10.4 s","0","540 ms","4.7 s",1653,207,31,2565
"/signup","mobile",50,100,100,69,"2.9 s","10.3 s","0","640 ms","5.2 s",1650,207,32,2687
"/login","mobile",47,98,100,69,"4.0 s","10.8 s","0","570 ms","6.8 s",1652,207,32,2518
"/about","mobile",48,100,100,100,"3.5 s","10.8 s","0","560 ms","6.5 s",1608,207,32,2278
"/trust","mobile",51,95,100,100,"3.4 s","10.5 s","0","460 ms","6.6 s",1606,208,32,2086
"/safety","mobile",51,100,100,100,"3.5 s","10.8 s","0","440 ms","6.5 s",1607,204,33,2006
"/contact","mobile",49,100,100,100,"2.9 s","10.9 s","0","650 ms","5.8 s",1622,207,31,2546
"/blog","mobile",51,96,100,100,"2.9 s","10.9 s","0","590 ms","5.8 s",1624,208,33,2297
"/legal","mobile",51,96,100,100,"3.1 s","10.9 s","0","520 ms","6.0 s",1628,208,32,2271
"/dallas","mobile",54,96,100,92,"3.2 s","10.5 s","0","500 ms","4.8 s",1641,207,31,2311
"/austin","mobile",48,96,100,92,"4.0 s","11.0 s","0","490 ms","6.9 s",1639,208,32,1982
"/miami","mobile",57,96,100,92,"2.9 s","10.2 s","0","430 ms","4.2 s",1638,207,32,1961
"/therapists/kevin-os","mobile",54,100,100,100,"2.9 s","10.3 s","0","510 ms","4.7 s",1568,207,0,2578
"/","desktop",99,96,96,92,"0.3 s","0.6 s","0","0 ms","1.1 s",2391,206,0,922
"/therapists","desktop",100,95,96,100,"0.3 s","0.6 s","0.024","10 ms","0.7 s",1638,206,0,776
"/search","desktop",100,95,100,100,"0.4 s","0.7 s","0","0 ms","0.7 s",1639,206,0,930
"/pricing","desktop",100,100,100,100,"0.3 s","0.6 s","0","10 ms","0.8 s",1597,208,0,813
"/signup","desktop",99,100,100,69,"0.3 s","0.7 s","0","40 ms","1.3 s",1607,207,0,804
"/login","desktop",88,98,100,69,"0.3 s","2.1 s","0.071","0 ms","1.0 s",1607,207,0,668
"/about","desktop",100,100,100,100,"0.4 s","0.6 s","0","0 ms","0.8 s",1669,207,32,693
"/trust","desktop",100,95,100,100,"0.3 s","0.5 s","0","0 ms","0.8 s",1585,207,0,710
"/safety","desktop",100,100,100,100,"0.3 s","0.5 s","0","20 ms","0.9 s",1615,207,0,769
"/contact","desktop",100,100,100,100,"0.4 s","0.6 s","0","20 ms","0.8 s",1694,207,31,790
"/blog","desktop",100,96,100,100,"0.4 s","0.5 s","0","0 ms","0.7 s",1705,207,32,674
"/legal","desktop",100,96,100,100,"0.4 s","0.6 s","0","0 ms","0.8 s",1601,207,0,814
"/dallas","desktop",99,96,100,92,"0.3 s","0.6 s","0","0 ms","1.0 s",1646,207,0,738
"/austin","desktop",100,96,100,92,"0.4 s","0.6 s","0","0 ms","0.8 s",1740,207,32,727
"/miami","desktop",100,96,100,92,"0.3 s","0.6 s","0","0 ms","0.8 s",1651,207,0,775
"/therapists/kevin-os","desktop",100,100,100,100,"0.3 s","0.7 s","0","0 ms","0.8 s",2056,207,0,791
