path,status,finalUrl,redirected,inSitemap,ms,bytes,title,titleLen,metaDesc,metaDescLen,canonical,robotsMeta,h1Count,h2Count,wordCount,imgCount,imgMissingAlt,internalLinkCount,externalLinkCount,schemaTypes
"/","200","https://www.masseurmatch.com/","false","true","510","130567","Find Verified Male Massage Therapists Near You | MasseurMatch","61","MasseurMatch is the premium US directory for verified LGBTQ+-affirming male massage therapists. Search Dallas, Miami, NYC, LA, Chicago & cities across the US. Compare deep tissue, Swedish, outcall & incall options. A modern alternative to MasseurFinder and RentMasseur.","269","https://masseurmatch.com","index, follow","1","8","562","2","0","43","0","Organization|WebSite|CollectionPage|ItemList|FAQPage|BreadcrumbList|WebPage"
"/therapists","200","https://www.masseurmatch.com/therapists","false","true","933","64186","Verified massage therapists across the United States | MasseurMatch","67","Browse verified LGBTQ+-affirming massage therapists across the United States by state, city, specialty, incall, outcall, and direct contact options.","148","https://masseurmatch.com/therapists","index, follow","1","0","84","1","0","34","0","BreadcrumbList|CollectionPage|ItemList"
"/cities","200","https://www.masseurmatch.com/cities","false","true","550","191483","Find massage therapists by city across the United States | MasseurMatch","71","Browse MasseurMatch city pages across the United States and access local discovery routes by state, city, specialty, incall, outcall, and direct contact options.","161","https://masseurmatch.com/cities","index, follow","1","0","464","1","0","307","0",""
"/explore","200","https://www.masseurmatch.com/explore","false","true","721","71499","Explore therapists by city — MasseurMatch","41","Browse male massage therapists across every major US city and state.","68","https://masseurmatch.com/explore","index, follow","1","2","86","1","0","98","0","BreadcrumbList"
"/near-me","200","https://www.masseurmatch.com/near-me","false","true","966","65525","Massage Therapists Near Me | Find Local Options | MasseurMatch","62","Find verified massage therapists near you. Browse local options by city, compare services, specialties, and pricing. Direct contact with therapists in your area.","161","https://masseurmatch.com/near-me","index, follow","1","4","208","1","0","47","0","BreadcrumbList|CollectionPage"
"/blog","200","https://www.masseurmatch.com/blog","false","true","875","58021","Blog | Massage Therapy Tips, Wellness & LGBTQ+ Resources - MasseurMatch","71","Expert massage therapy advice, wellness guides, LGBTQ+ health resources, and industry insights from the MasseurMatch editorial team.","132","https://masseurmatch.com/blog","index, follow","1","2","309","1","0","36","0",""
"/guides","200","https://www.masseurmatch.com/guides","false","true","918","66668","Local Male Massage Guides | MasseurMatch","40","Editorial guides supporting Dallas, Houston, Austin, Chicago, Miami, and other local discovery routes with stronger internal linking and search intent coverage.","160","https://masseurmatch.com/guides","index, follow","1","13","384","1","0","42","0","CollectionPage|ItemList"
"/pricing","200","https://www.masseurmatch.com/pricing","false","true","675","349958","Pricing | Listing Plans & Growth Add-Ons - MasseurMatch","55","Compare Free, Standard, Pro, and Elite listing plans plus stackable visibility boosts, trust upgrades, geo discovery, and premium exposure add-ons.","147","https://masseurmatch.com/pricing","index, follow","1","4","1940","1","0","32","0",""
"/how-it-works","200","https://www.masseurmatch.com/how-it-works","false","true","789","103316","How MasseurMatch Works — Find a Verified Male Massage Therapist","63","Learn how MasseurMatch connects you with verified LGBTQ+-affirming male massage therapists. Search by city, compare profiles with trust signals, and contact therapists directly — no booking middleman.","200","https://masseurmatch.com/how-it-works","index, follow","1","5","474","1","0","32","0","HowTo|BreadcrumbList|FAQPage"
"/about","200","https://www.masseurmatch.com/about","false","true","392","56236","About Us — Elevating the Standard of Holistic Wellness | MasseurMatch","69","MasseurMatch is an exclusive network where professional excellence meets absolute trust. Discover our core pillars: rigorous curation, elite standards, and absolute privacy.","173","https://masseurmatch.com/about","index, follow","1","3","276","1","0","31","0","BreadcrumbList|AboutPage"
"/advertise","200","https://www.masseurmatch.com/advertise","false","true","482","71181","Advertise on MasseurMatch","25","Compare listing plans for massage therapists and grow visibility through city pages, profile pages, and directory search.","121","https://masseurmatch.com/advertise","index, follow","1","4","127","1","0","30","0","BreadcrumbList|CollectionPage"
"/for-therapists","200","https://www.masseurmatch.com/for-therapists","false","true","869","84075","List Your Massage Practice | For Therapists - MasseurMatch","58","Grow your massage therapy practice with MasseurMatch. Get discovered by LGBTQ+-affirming clients, manage your profile, and build a sustainable independent business.","164","https://masseurmatch.com/for-therapists","index, follow","1","6","493","1","0","30","0",""
"/safety","200","https://www.masseurmatch.com/safety","false","true","115","67250","Trust and safety | MasseurMatch","31","Understand what MasseurMatch trust badges mean, how to contact providers more safely, and how to report a concern.","114","https://masseurmatch.com/safety","index, follow","1","10","348","1","0","30","0","BreadcrumbList|CollectionPage|FAQPage"
"/trust","200","https://www.masseurmatch.com/trust","false","true","102","65192","Trust & Safety | How MasseurMatch Protects You","46","Learn how MasseurMatch reviews profiles, protects your privacy, and maintains a safer environment for clients and therapists.","125","https://masseurmatch.com/trust","index, follow","1","1","273","1","0","29","0",""
"/contact","200","https://www.masseurmatch.com/contact","false","true","102","75712","Contact Us | MasseurMatch","25","Connect with MasseurMatch for client support, provider growth questions, and partnership inquiries through a premium, streamlined contact experience.","149","https://masseurmatch.com/contact","index, follow","1","4","161","1","0","30","0","ContactPage"
"/faq","200","https://www.masseurmatch.com/faq","false","true","298","85497","FAQ | Frequently Asked Questions – MasseurMatch","47","Answers to the most common questions about finding a massage therapist on MasseurMatch, how listings work, pricing, privacy, and LGBTQ+ safety.","143","https://masseurmatch.com/faq","index, follow","1","4","767","1","0","30","0",""
"/community-guidelines","200","https://www.masseurmatch.com/community-guidelines","false","true","120","61791","Community Guidelines | MasseurMatch","35","Read the community guidelines for providers and clients using MasseurMatch, including inclusion standards, prohibited conduct, and enforcement policies.","152","https://masseurmatch.com/community-guidelines","index, follow","1","5","217","1","0","29","0","BreadcrumbList|WebPage"
"/legal","200","https://www.masseurmatch.com/legal","false","true","298","175218","Legal Center | MasseurMatch","27","The MasseurMatch Legal Center — your reference for terms of service, privacy, cookies, billing, DMCA, content standards, and legal contact channels.","148","https://masseurmatch.com/legal","index, follow","1","5","1166","1","0","30","0","BreadcrumbList|CollectionPage"
"/privacy","200","https://www.masseurmatch.com/privacy","false","true","137","72419","Privacy Policy | MasseurMatch","29","MasseurMatch's privacy policy: how we collect, use, and protect your personal information. We never sell your data. CCPA and GDPR rights included.","146","https://masseurmatch.com/privacy","index, follow","1","12","1021","1","0","29","0",""
"/terms","200","https://www.masseurmatch.com/terms","false","true","197","69046","Terms of Service | MasseurMatch","31","MasseurMatch terms of service: rules for clients and therapists using the directory platform operated by XRankFlow Media Group LLC.","131","https://masseurmatch.com/terms","index, follow","1","11","762","1","0","29","0",""
"/accessibility","200","https://www.masseurmatch.com/accessibility","false","true","220","50586","Accessibility | MasseurMatch","28","Accessibility commitment, support channels, and continuous improvement approach for MasseurMatch.","97","https://masseurmatch.com/accessibility","index, follow","1","3","173","1","0","29","0",""
"/platform-disclaimer","200","https://www.masseurmatch.com/platform-disclaimer","false","true","486","67864","Platform Disclaimer | MasseurMatch","34","Read the MasseurMatch platform disclaimer, including the independent-provider model, no-license-verification notice, and direct-contact responsibilities.","153","https://masseurmatch.com/platform-disclaimer","index, follow","1","8","285","1","0","29","0","BreadcrumbList|WebPage"
"/cookie-policy","200","https://www.masseurmatch.com/cookie-policy","false","true","78","55571","Cookie Policy | MasseurMatch","28","MasseurMatch cookie policy: how we use essential, preference, and analytics cookies to operate the platform securely and improve your experience.","145","https://masseurmatch.com/cookie-policy","index, follow","1","4","277","1","0","29","0",""
"/therapist-agreement","200","https://www.masseurmatch.com/therapist-agreement","false","true","231","51952","Therapist Subscription Agreement | MasseurMatch","47","Terms for therapists who publish paid or free listings on MasseurMatch.","71","https://masseurmatch.com/therapist-agreement","noindex, follow","1","7","280","1","0","29","0",""
"/content-guidelines","200","https://www.masseurmatch.com/content-guidelines","false","true","289","73686","Content Guidelines | MasseurMatch","33","Standards for all content published on MasseurMatch — profile text, photos, service descriptions, reviews, and communications.","126","https://masseurmatch.com/content-guidelines","index, follow","1","10","462","1","0","29","0","BreadcrumbList"
"/provider-terms","200","https://www.masseurmatch.com/provider-terms","false","true","337","47369","Provider Terms | MasseurMatch","29","Terms for independent massage therapists and wellness providers listing on MasseurMatch — responsibilities, content standards, billing, and platform relationship.","162","https://masseurmatch.com/provider-terms","index, follow","1","12","589","0","0","14","0",""
"/client-terms","200","https://www.masseurmatch.com/client-terms","false","true","354","59793","Client and User Terms | MasseurMatch","36","Terms for clients and users browsing the MasseurMatch directory — your responsibilities, conduct standards, and platform rules.","127","https://masseurmatch.com/client-terms","index, follow","1","12","692","1","0","29","0",""
"/acceptable-use","200","https://www.masseurmatch.com/acceptable-use","false","true","686","59864","Acceptable Use Policy | MasseurMatch","36","What you may and may not do on MasseurMatch — acceptable use, prohibited behavior, and platform conduct standards.","114","https://masseurmatch.com/acceptable-use","index, follow","1","9","590","1","0","29","0",""
"/prohibited-conduct","200","https://www.masseurmatch.com/prohibited-conduct","false","true","498","46762","Prohibited Conduct Policy | MasseurMatch","40","Conduct that is strictly prohibited on MasseurMatch — sexual solicitation, harassment, trafficking, fraud, and all zero-tolerance violations.","141","https://masseurmatch.com/prohibited-conduct","index, follow","1","9","549","0","0","10","0",""
"/photo-profile-policy","200","https://www.masseurmatch.com/photo-profile-policy","false","true","471","78441","Photo and Profile Content Policy | MasseurMatch","47","Requirements and restrictions for profile photos, workspace images, and profile content on MasseurMatch.","104","https://masseurmatch.com/photo-profile-policy","index, follow","1","5","434","1","0","29","0","BreadcrumbList"
"/badge-disclaimer","200","https://www.masseurmatch.com/badge-disclaimer","false","true","305","71248","Badge and Verification Disclaimer | MasseurMatch","48","What MasseurMatch badges and profile signals mean — and what they do not mean. Badges are platform indicators, not license verification or background checks.","157","https://masseurmatch.com/badge-disclaimer","index, follow","1","4","437","1","0","29","0","BreadcrumbList"
"/subscriptions","200","https://www.masseurmatch.com/subscriptions","false","true","216","59874","Paid Subscription and Add-On Terms | MasseurMatch","49","Terms governing paid subscriptions, add-ons, boosts, and visibility tools on MasseurMatch — billing, renewal, and important limitations.","136","https://masseurmatch.com/subscriptions","index, follow","1","12","676","1","0","29","0",""
"/refund-policy","200","https://www.masseurmatch.com/refund-policy","false","true","191","59990","Refund and Cancellation Policy | MasseurMatch","45","MasseurMatch refund and cancellation policy — how to cancel subscriptions, when refunds apply, and what happens to unused add-ons.","130","https://masseurmatch.com/refund-policy","index, follow","1","12","690","1","0","29","0",""
"/advertising-terms","200","https://www.masseurmatch.com/advertising-terms","false","true","197","59266","Advertising and Featured Placement Terms | MasseurMatch","55","Terms for advertising, featured placements, sponsored listings, and paid visibility tools on MasseurMatch.","106","https://masseurmatch.com/advertising-terms","index, follow","1","9","527","1","0","29","0",""
"/ai-disclosure","200","https://www.masseurmatch.com/ai-disclosure","false","true","539","70141","AI Assistant Disclosure — Knotty AI | MasseurMatch","50","How Knotty AI works on MasseurMatch, what AI responses can and cannot be used for, and your responsibilities when using AI-assisted features.","141","https://masseurmatch.com/ai-disclosure","index, follow","1","4","435","1","0","29","0","BreadcrumbList"
"/sms-terms","200","https://www.masseurmatch.com/sms-terms","false","true","218","57285","SMS Terms and Consent Policy | MasseurMatch","43","MasseurMatch SMS terms: how we use text messaging, how to opt in and out, message frequency, and data rate disclosures.","119","https://masseurmatch.com/sms-terms","index, follow","1","11","536","1","0","29","0",""
"/email-opt-out","200","https://www.masseurmatch.com/email-opt-out","false","true","404","56650","Email Marketing and Opt-Out Policy | MasseurMatch","49","How MasseurMatch uses email, what types of messages we send, and how to manage or unsubscribe from marketing emails.","116","https://masseurmatch.com/email-opt-out","index, follow","1","7","443","1","0","29","0",""
"/dmca","200","https://www.masseurmatch.com/dmca","false","true","425","70080","DMCA Copyright Policy | MasseurMatch","36","MasseurMatch DMCA copyright takedown process — how to submit a copyright complaint, what information is required, and the counter-notice process.","145","https://masseurmatch.com/dmca","index, follow","1","5","523","1","0","29","0","BreadcrumbList"
